Josh,Luke,Kate,Mark,Mary
93,30,10,27,94
65,65,51,33,4
42,99,19,64,86
47,36,62,19,2
44,68,95,50,56
91,73,96,86,13
51,74,20,53,86
35,55,79,100,93
82,56,12,68,1
51,88,95,10,100
69,72,94,76,6
97,80,50,75,6
1,83,68,54,20
72,45,17,14,99
72,26,80,7,69
68,1,100,69,54
54,91,76,95,96
30,0,30,93,79
22,42,83,44,77
69,10,54,2,16
55,33,55,81,69
48,55,36,100,41
25,23,10,10,12
93,79,72,73,65
92,57,47,73,94
82,67,43,8,62
68,39,54,81,28
51,88,80,32,71
43,22,62,21,27
81,0,18,49,96
53,21,15,2,13
92,8,78,59,86
61,53,46,50,100
22,39,6,58,14
13,36,34,99,60
12,43,45,71,8
5,9,88,19,44
27,73,35,20,56
7,76,96,87,58
69,27,39,78,5
5,12,24,38,88
42,11,37,94,66
16,99,36,52,32
44,81,52,61,91
93,39,98,12,8
79,48,56,0,5
35,58,16,39,54
38,100,71,56,4
38,19,22,46,32
67,83,91,3,88
37,8,17,49,49
59,67,84,81,47
15,6,56,76,6
50,60,64,41,96
51,50,10,31,7
67,13,12,32,81
36,97,91,68,77
97,61,79,19,50
83,94,18,55,56
99,82,96,10,63
69,92,20,22,81
20,92,84,8,63
19,86,44,88,34
46,99,79,15,79
87,66,8,8,27
91,54,93,34,21
92,4,70,41,2
72,28,77,47,76
92,39,23,40,33
16,25,92,43,26
42,48,20,56,94
31,87,97,52,43
68,95,60,12,88
88,33,53,98,17
59,20,51,87,80
88,26,78,93,72
99,38,36,69,100
8,64,47,76,41
55,42,75,5,53
80,88,69,46,17
44,7,5,87,85
6,74,69,14,75
77,16,33,61,22
24,77,60,56,77
4,9,24,6,52
73,62,13,29,52
60,32,17,17,73
44,90,83,41,62
15,53,14,41,11
15,35,90,45,47
2,35,35,34,22
95,50,88,47,87
14,53,19,10,62
94,4,76,87,19
80,53,56,5,56
64,43,0,35,100
90,93,61,75,44
27,68,63,89,62
75,58,70,61,24
69,44,38,17,28
